"EMPLOYE_ID";"MOIS";"SALAIRE_BRUT";"SALAIRE_NET";"COTISATIONS";"PRIMES";"HEURES_SUPPLEMENTAIRES";"DATE_VIREMENT";"IBAN_VERSEMENT"
"112";"2025-09";"9944.67";"8628.66";"2028.81";"712.8";"0";"2025-09-28";"FR7615106861452474146659291"
"589";"2026-03";"8460.4";"7270.12";"1878.71";"688.43";"0";"2026-03-28";"FR7673627514275209354448945"
"60";"2025-07";"2688.66";"2135.08";"553.58";"0";"16.3";"2025-07-28";"FR7633933667936847564460189"
"985";"2025-07";"11249.99";"10484.87";"2341.44";"1576.32";"0";"2025-07-28";"FR7641313381393495625187058"
"945";"2025-04";"11756.19";"9287.71";"2468.48";"0";"3.5";"2025-04-28";"FR7635357651048121735580519"
"773";"2025-03";"10898.25";"8694.25";"2204.0";"0";"0";"2025-03-28";"FR7668817307037194246106125"
"380";"2025-07";"7931.78";"7029.62";"1839.53";"937.37";"1.5";"2025-07-28";"FR7691088811754766239135397"
"366";"2025-05";"2970.15";"2259.87";"710.28";"0";"0";"2025-05-28";"FR7699893240911580333824410"
"442";"2025-11";"9012.76";"8130.26";"1979.8";"1097.3";"1.0";"2025-11-28";"FR7644124529637603294395298"
"670";"2025-09";"10863.91";"9638.2";"2462.83";"1237.12";"0";"2025-09-28";"FR7626514168486065649140396"
"639";"2026-03";"6887.53";"5948.25";"1533.09";"593.81";"0";"2026-03-28";"FR7617367208751403936150036"
"942";"2025-05";"11464.21";"9170.64";"2293.57";"0";"11.0";"2025-05-28";"FR7632672188707839479248713"
"288";"2026-02";"9299.46";"8529.36";"2054.14";"1284.04";"0";"2026-02-28";"FR7696762978902528164348972"
"626";"2025-07";"3588.26";"2856.15";"732.11";"0";"0";"2025-07-28";"FR7640829153376267875402199"
"352";"2025-09";"4414.42";"4544.53";"1077.63";"1207.74";"0";"2025-09-28";"FR7698388928672598489475662"
"687";"2025-07";"5708.06";"4333.45";"1374.61";"0";"0";"2025-07-28";"FR7663439314553130225235314"
"557";"2025-07";"10663.69";"8165.8";"2497.89";"0";"0";"2025-07-28";"FR7612741576459261894712683"
"267";"2025-08";"7596.3";"5737.89";"1858.41";"0";"0";"2025-08-28";"FR7644878619738624970819128"
"267";"2025-12";"6550.43";"6368.1";"1315.16";"1132.83";"18.5";"2025-12-28";"FR7650730508497430012813357"
"386";"2025-07";"10508.31";"9156.57";"2148.6";"796.86";"0";"2025-07-28";"FR7632314409109237994234257"
"11";"2025-02";"11186.43";"8417.07";"2769.36";"0";"1.6";"2025-02-28";"FR7635469276442633347284660"
"348";"2026-02";"10089.48";"8634.3";"2374.26";"919.08";"0";"2026-02-28";"FR7672387989535593262198394"
"78";"2025-12";"3321.97";"2620.31";"701.66";"0";"0";"2025-12-28";"FR7699067181021258857416544"
"350";"2025-11";"7203.73";"7296.08";"1582.9";"1675.25";"0";"2025-11-28";"FR7620807887404411045372311"
"278";"2025-03";"9840.06";"8587.05";"1984.3";"731.29";"0";"2025-03-28";"FR7655849309814211831943324"
"81";"2026-01";"7588.63";"5738.04";"1850.59";"0";"0";"2026-01-28";"FR7634338343482406435226330"
"523";"2025-07";"11253.87";"10515.09";"2660.17";"1921.39";"0";"2025-07-28";"FR7626365171579021592651855"
"825";"2026-03";"7893.64";"6395.57";"1817.29";"319.22";"0";"2026-03-28";"FR7633351455664804035361513"
"735";"2025-12";"6119.67";"6316.43";"1507.38";"1704.14";"0";"2025-12-28";"FR7633170267711487168326185"
"503";"2026-02";"5972.54";"5349.69";"1396.16";"773.31";"0";"2026-02-28";"FR7683506320225673073946598"
"603";"2025-02";"5087.35";"4024.98";"1062.37";"0";"0";"2025-02-28";"FR7673261323425844438524458"
"754";"2025-01";"9843.04";"7836.5";"2006.54";"0";"0";"2025-01-28";"FR7615014824042466263597967"
"963";"2025-09";"2220.6";"1721.58";"499.02";"0";"0";"2025-09-28";"FR7677930502292802275579943"
"159";"2026-03";"2783.14";"3031.07";"680.62";"928.55";"8.6";"2026-03-28";"FR7684542590263396783142550"
"490";"2025-01";"7026.46";"7239.66";"1470.94";"1684.14";"3.1";"2025-01-28";"FR7610240443126887713188883"
"976";"2025-12";"8230.19";"6416.84";"1957.27";"143.92";"16.6";"2025-12-28";"FR7667346287952251627954393"
