"PRENOM";"NOM";"EMAIL";"TELEPHONE";"DATE_NAISSANCE";"ADRESSE";"CODE_POSTAL";"VILLE";"DIPLOME";"ANNEES_EXPERIENCE";"POSTE_VISE";"SALAIRE_SOUHAITE";"DATE_CANDIDATURE";"STATUT"
"Alain";"Noel";"alain-noel@yahoo.fr";"+33 6 14 75 78 62";"1997-07-30";"74 Boulevard Haussmann";"76000";"Rouen";"Bac Pro";"12";"Consultant BI";"77530.65";"2025-06-09";"REFUSE"
"Élodie";"Renard";"elodie-renard@yahoo.fr";"+33 6 89 13 56 73";"1980-03-27";"64 Boulevard Saint-Germain";"44000";"Nantes";"CAP/BEP";"23";"Data Engineer";"71931.83";"2025-04-12";"OFFRE"
"Océane";"Delmas";"oceane-delmas@protonmail.com";"+33 6 35 77 87 39";"1997-09-19";"97 Rue de Rivoli";"38000";"Grenoble";"CAP/BEP";"8";"Data Engineer";"62671.53";"2025-02-12";"ENTRETIEN"
"Aurélie";"Lefebvre";"aurelielefebvre@protonmail.com";"+33 6 84 32 69 76";"1989-03-05";"144 Impasse des Lilas";"95100";"Argenteuil";"Bac+5 (Master/Ingénieur)";"13";"Scrum Master";"54725.18";"2025-10-19";"ENTRETIEN"
"Julie";"Schmitt";"julieschmitt@protonmail.com";"+33 6 88 56 59 78";"1982-11-13";"133 Avenue Jean Jaurès";"75015";"Paris";"CAP/BEP";"22";"Product Owner";"65545.03";"2025-07-28";"ENTRETIEN"
"Gérard";"Chevalier";"gerardchevalier@outlook.fr";"+33 6 91 90 48 77";"1984-11-14";"97 Place du Marché";"76000";"Rouen";"Bac+5 (Master/Ingénieur)";"16";"Développeur Full-Stack";"35123.41";"2025-06-18";"EMBAUCHE"
"Jérôme";"Muller";"jeromemuller@outlook.fr";"+33 6 58 48 25 10";"1999-03-08";"13 Rue Nationale";"06000";"Nice";"Bac Pro";"7";"Architecte Cloud";"60953.56";"2025-06-15";"OFFRE"
"Clément";"François";"clement.francois@yahoo.fr";"+33 6 58 32 67 41";"1976-06-04";"47 Avenue de la Liberté";"45000";"Orléans";"Bac+8 (Doctorat)";"0";"DevOps";"68476.62";"2025-08-22";"EN_COURS"
"Lucas";"Martin";"lucas.martin@protonmail.com";"+33 6 95 70 93 88";"1998-09-12";"26 Rue du Faubourg Saint-Honoré";"63000";"Clermont-Ferrand";"Bac Pro";"22";"Scrum Master";"68385.04";"2025-02-01";"OFFRE"
"Louise";"Caron";"louise-caron@gmail.com";"+33 6 92 83 88 40";"1998-02-12";"36 Place du Marché";"35000";"Rennes";"Bac+3 (Licence)";"13";"Ingénieur Machine Learning";"67511.85";"2025-05-03";"ENTRETIEN"
"Delphine";"Berger";"delphine.berger@gmail.com";"+33 6 82 71 37 25";"2003-02-04";"44 Rue de la Paix";"13008";"Marseille";"MBA";"23";"Consultant BI";"77663.27";"2025-03-28";"EN_COURS"
"Aurélie";"Leroy";"aurelie-leroy@hotmail.fr";"+33 6 95 96 90 22";"1978-06-26";"58 Rue des Écoles";"54000";"Nancy";"Bac Pro";"4";"Comptable";"53662.71";"2025-04-25";"EMBAUCHE"
"Sylvain";"Navarro";"sylvainnavarro@yahoo.fr";"+33 6 60 41 50 47";"1986-08-22";"48 Rue de la République";"14000";"Caen";"MBA";"4";"DevOps";"72511.75";"2025-08-08";"EN_COURS"
"Gilles";"Noel";"gillesnoel@protonmail.com";"+33 6 64 58 38 85";"2005-06-14";"71 Rue de Rivoli";"37000";"Tours";"CAP/BEP";"12";"DevOps";"39609.15";"2025-09-14";"EMBAUCHE"
"Mathieu";"Vincent";"mathieu.vincent@protonmail.com";"+33 6 11 33 38 92";"1985-01-11";"105 Rue de la Paix";"75020";"Paris";"Bac Pro";"25";"Responsable RH";"72456.75";"2025-04-11";"EN_COURS"
"Charles";"Hubert";"charleshubert@outlook.fr";"+33 6 41 59 24 30";"1995-09-19";"56 Avenue Victor Hugo";"14000";"Caen";"Bac Pro";"2";"Scrum Master";"61688.92";"2025-06-25";"EMBAUCHE"
"Laetitia";"Renard";"laetitia.renard@yahoo.fr";"+33 6 98 97 53 30";"1995-05-28";"136 Allée des Tilleuls";"64100";"Bayonne";"Bac+5 (Master/Ingénieur)";"17";"Product Owner";"53045.31";"2025-06-28";"EN_COURS"
"Eva";"Navarro";"eva.navarro@gmail.com";"+33 6 28 27 97 38";"1986-01-06";"5 Avenue Foch";"17000";"La Rochelle";"Bac+2 (BTS/DUT)";"7";"Data Engineer";"41669.85";"2025-07-20";"ENTRETIEN"
"Sylvain";"Bernard";"sylvain-bernard@gmail.com";"+33 6 96 39 38 83";"1991-03-06";"58 Rue Émile Zola";"76000";"Rouen";"Bac+3 (Licence)";"22";"Consultant BI";"74351.8";"2025-08-05";"ENTRETIEN"
"Gérard";"André";"gerard.andre@protonmail.com";"+33 6 74 49 93 78";"1978-09-30";"100 Rue Lafayette";"59000";"Lille";"Bac+5 (Master/Ingénieur)";"19";"Chargé de Communication";"74049.77";"2025-05-07";"REFUSE"
"Bernard";"Robin";"bernardrobin@hotmail.fr";"+33 6 85 18 93 35";"1993-06-25";"144 Place du Marché";"13100";"Aix-en-Provence";"Bac+2 (BTS/DUT)";"12";"Comptable";"73555.95";"2025-07-16";"ENTRETIEN"
"Christophe";"Garcia";"christophe-garcia@hotmail.fr";"+33 6 70 27 62 72";"1998-02-26";"78 Boulevard de la Marne";"33000";"Bordeaux";"Bac+2 (BTS/DUT)";"13";"Scrum Master";"59148.77";"2026-01-03";"ENTRETIEN"
"Arnaud";"Lecomte";"arnaudlecomte@yahoo.fr";"+33 6 35 80 63 59";"1981-07-30";"125 Chemin du Moulin";"54000";"Nancy";"Bac+2 (BTS/DUT)";"14";"Chef de Projet";"75034.68";"2025-06-03";"OFFRE"
"Paul";"Aubert";"paulaubert@gmail.com";"+33 6 75 88 96 36";"2001-05-07";"130 Rue de Rivoli";"63000";"Clermont-Ferrand";"MBA";"25";"Chef de Projet";"69076.3";"2025-10-23";"EMBAUCHE"
"Céline";"Navarro";"celine.navarro@yahoo.fr";"+33 6 97 91 13 52";"1987-10-18";"129 Rue de la Paix";"63000";"Clermont-Ferrand";"Bac+8 (Doctorat)";"7";"Responsable RH";"48430.39";"2026-02-28";"EN_COURS"
"Marguerite";"Robin";"marguerite.robin@yahoo.fr";"+33 6 89 96 79 10";"1989-06-08";"10 Avenue de Verdun";"35000";"Rennes";"Bac+3 (Licence)";"12";"Data Engineer";"28512.85";"2025-01-09";"REFUSE"
"Françoise";"Noel";"francoise.noel@yahoo.fr";"+33 6 10 12 22 82";"1978-04-25";"1 Avenue des Champs-Élysées";"21000";"Dijon";"Bac Pro";"25";"Commercial";"59786.68";"2025-08-29";"EN_COURS"
"Océane";"Vincent";"oceane.vincent@hotmail.fr";"+33 6 63 68 54 26";"2005-10-18";"147 Rue de la République";"30000";"Nîmes";"MBA";"23";"Chargé de Communication";"77821.23";"2025-05-15";"EN_COURS"
"Camille";"Legrand";"camille-legrand@protonmail.com";"+33 6 43 33 42 69";"1993-07-11";"84 Rue des Écoles";"06000";"Nice";"Bac Pro";"3";"Product Owner";"76886.74";"2025-12-29";"ENTRETIEN"
"Colette";"Picard";"colette.picard@yahoo.fr";"+33 6 83 78 47 64";"1989-06-06";"55 Rue Pierre Curie";"69100";"Villeurbanne";"CAP/BEP";"3";"Commercial";"50567.64";"2026-02-11";"EN_COURS"
"Mathilde";"Charpentier";"mathildecharpentier@hotmail.fr";"+33 6 88 48 23 98";"1984-01-26";"111 Rue Victor Hugo";"31000";"Toulouse";"Bac+3 (Licence)";"22";"Juriste";"48307.85";"2025-09-23";"OFFRE"
"Romain";"Morel";"romain.morel@outlook.fr";"+33 6 49 34 94 14";"1976-06-26";"90 Rue de Rivoli";"06000";"Nice";"Bac+2 (BTS/DUT)";"0";"Comptable";"35224.53";"2025-10-22";"REFUSE"
"Alexandre";"Morel";"alexandremorel@hotmail.fr";"+33 6 98 80 15 79";"1984-10-06";"45 Rue Jean Moulin";"45000";"Orléans";"Bac+5 (Master/Ingénieur)";"7";"Analyste Données";"49497.39";"2025-12-03";"EN_COURS"
"Mélanie";"Rolland";"melanierolland@yahoo.fr";"+33 6 14 65 19 59";"2003-03-15";"31 Impasse des Lilas";"35000";"Rennes";"Bac+3 (Licence)";"3";"Ingénieur Machine Learning";"80770.66";"2025-10-01";"REFUSE"
"Serge";"Adam";"serge-adam@outlook.fr";"+33 6 64 61 88 75";"1984-11-06";"36 Boulevard Saint-Germain";"42000";"Saint-Étienne";"Bac+3 (Licence)";"7";"Responsable RH";"83900.79";"2026-02-19";"EMBAUCHE"
"Colette";"Sanchez";"colette.sanchez@gmail.com";"+33 6 68 82 50 48";"1979-08-01";"95 Rue Pierre Curie";"06400";"Cannes";"CAP/BEP";"14";"Chargé de Communication";"31837.63";"2026-02-26";"EN_COURS"
"Alexandre";"Philippe";"alexandrephilippe@yahoo.fr";"+33 6 99 49 93 91";"2003-01-13";"50 Boulevard Voltaire";"30000";"Nîmes";"Bac+2 (BTS/DUT)";"8";"Architecte Cloud";"76729.59";"2025-12-18";"REFUSE"
"Louis";"Martinez";"louis.martinez@outlook.fr";"+33 6 97 77 24 99";"1989-04-24";"11 Rue Lafayette";"87000";"Limoges";"MBA";"18";"Data Engineer";"80131.58";"2025-07-21";"REFUSE"
"Bernard";"Deschamps";"bernard-deschamps@outlook.fr";"+33 6 17 69 58 75";"1990-06-13";"108 Rue Jean Moulin";"13001";"Marseille";"Bac+5 (Master/Ingénieur)";"23";"Responsable RH";"80473.61";"2025-11-25";"REFUSE"
"Catherine";"Petit";"catherinepetit@yahoo.fr";"+33 6 46 47 54 23";"2000-03-13";"44 Rue Pasteur";"66000";"Perpignan";"MBA";"4";"Product Owner";"42909.51";"2025-03-23";"REFUSE"
"Claude";"Picard";"claude-picard@hotmail.fr";"+33 6 86 70 30 95";"1994-02-13";"64 Avenue de Verdun";"25000";"Besançon";"Bac+3 (Licence)";"10";"Commercial";"62260.3";"2025-09-11";"ENTRETIEN"
"Béatrice";"Michel";"beatrice.michel@outlook.fr";"+33 6 73 55 84 84";"1997-04-30";"66 Rue Nationale";"59000";"Lille";"MBA";"17";"Consultant BI";"72423.05";"2025-04-17";"ENTRETIEN"
"Jérôme";"Deschamps";"jerome-deschamps@gmail.com";"+33 6 85 42 59 66";"1990-10-08";"144 Rue Jean Moulin";"29200";"Brest";"MBA";"19";"Comptable";"70865.73";"2026-01-20";"OFFRE"
