"PRENOM";"NOM";"EMAIL_PRO";"TELEPHONE_PRO";"TELEPHONE_PERSO";"DATE_NAISSANCE";"LIEU_NAISSANCE";"GENRE";"NATIONALITE";"NIR";"NUMERO_PASSEPORT";"PERMIS_CONDUIRE";"ADRESSE";"CODE_POSTAL";"VILLE";"IBAN";"POSTE";"DEPARTEMENT";"DATE_EMBAUCHE";"TYPE_CONTRAT";"MANAGER_ID";"ACTIF"
"Marguerite";"Charpentier";"marguerite-charpentier@voltaire-analytics.fr";"+33 5 35 35 14 66";"+33 6 77 23 24 19";"1984-05-19";"Lyon";"F";"Française";"284057472177873";"64BB46442";"8813963792";"69 Rue Lafayette";"13008";"Marseille";"FR7648499212896072422393952";"Négociateur";"Achats";"2020-01-08";"CDI";"";"True"
"Lucie";"Noel";"lucie-noel@voltaire-analytics.fr";"+33 3 57 30 39 82";"+33 6 23 71 97 13";"1967-07-04";"Bordeaux";"F";"Française";"267079424036908";"41AY17261";"4940217836";"104 Rue Nationale";"93100";"Montreuil";"FR7638107605822596711236788";"Compliance Officer";"Juridique";"2017-08-22";"CDI";"30";"True"
"Jade";"Leclerc";"jade.leclerc@voltaire-analytics.fr";"+33 3 74 73 29 35";"+33 6 81 54 77 58";"1965-09-29";"Dijon";"F";"Française";"265098525085679";"89EP96357";"5986040211";"21 Rue Pierre Curie";"51100";"Reims";"FR7641644458453824588224725";"Graphiste";"Communication";"2025-04-15";"CDI";"29";"False"
"Lucienne";"Gaillard";"luciennegaillard@voltaire-analytics.fr";"+33 1 71 39 50 69";"+33 6 87 26 25 25";"1986-10-17";"Toulouse";"F";"Française";"286104402640371";"99ZS83045";"8841537485";"68 Boulevard Voltaire";"64000";"Pau";"FR7649617625138555933937398";"Opérateur";"Production";"2015-03-05";"CDI";"19";"True"
"Lucienne";"Deschamps";"lucienne.deschamps@voltaire-analytics.fr";"+33 2 86 40 42 94";"+33 6 26 70 99 22";"1971-09-26";"Orléans";"F";"Française";"271095140897713";"84EL52225";"2619187275";"45 Boulevard Voltaire";"75008";"Paris";"FR7617024109292640255187195";"Responsable Qualité";"Qualité";"2015-12-07";"CDD";"28";"True"
"Emma";"Gaillard";"emma-gaillard@voltaire-analytics.fr";"+33 3 89 90 75 20";"+33 6 27 21 39 10";"2002-02-13";"Poitiers";"F";"Française";"202029557052514";"27UY35325";"7760827466";"14 Rue Victor Hugo";"68100";"Mulhouse";"FR7699181999938653596753461";"Juriste";"Juridique";"2017-03-16";"CDI";"14";"True"
"Agathe";"David";"agathe-david@voltaire-analytics.fr";"+33 4 90 41 90 62";"+33 6 56 50 63 18";"1977-01-16";"Toulouse";"F";"Française";"277011707479145";"77RE28311";"1278897433";"21 Boulevard Gambetta";"64000";"Pau";"FR7662118476737494662391359";"Chargé de Recrutement";"Ressources Humaines";"2024-04-16";"CDI";"13";"True"
"Alexandra";"Legrand";"alexandra-legrand@voltaire-analytics.fr";"+33 5 34 50 90 88";"+33 6 85 18 62 69";"1984-09-24";"Saint-Étienne";"F";"Marocaine";"284090285725081";"28HZ85681";"9521361499";"59 Allée des Tilleuls";"06400";"Cannes";"FR7633551549958687862291329";"Graphiste";"Communication";"2024-01-11";"CDI";"7";"True"
"Georges";"Rey";"georges-rey@voltaire-analytics.fr";"+33 5 89 82 51 31";"+33 6 33 50 33 88";"1985-08-19";"Pau";"M";"Française";"185083326530952";"97QI42546";"9082008588";"130 Rue du Faubourg Saint-Honoré";"29200";"Brest";"FR7625223197494423558495938";"Secrétaire Général";"Direction Générale";"2017-11-20";"CDI";"46";"True"
"Marine";"Simon";"marine-simon@voltaire-analytics.fr";"+33 3 99 54 86 96";"+33 6 94 98 17 91";"1986-10-16";"Versailles";"F";"Française";"286102279949482";"77PT16832";"3169782389";"39 Rue de la Paix";"69001";"Lyon";"FR7644923611404416095043269";"DAF";"Finance";"2019-08-17";"CDI";"47";"False"
"Olivier";"Vincent";"olivier.vincent@voltaire-analytics.fr";"+33 3 75 48 19 78";"+33 6 10 32 89 50";"1988-10-05";"Avignon";"M";"Française";"188108060458259";"72OY39802";"6842810429";"126 Boulevard de la Marne";"49000";"Angers";"FR7685873513986052445285718";"Chef d'Atelier";"Production";"2017-11-09";"CDD";"18";"True"
"Inès";"Masson";"ines-masson@voltaire-analytics.fr";"+33 1 37 77 64 28";"+33 6 55 60 93 69";"1965-07-09";"Brest";"F";"Française";"265071410616588";"56RJ31019";"3644895650";"140 Avenue des Champs-Élysées";"75001";"Paris";"FR7657381621564417179350614";"Chargé de Clientèle";"Service Client";"2021-06-25";"Stage";"41";"True"
"Xavier";"Schmitt";"xavier.schmitt@voltaire-analytics.fr";"+33 2 24 15 70 97";"+33 6 76 77 35 20";"1996-07-08";"Montreuil";"M";"Belge";"196075723673470";"64LY48090";"7968541692";"1 Rue Pasteur";"34000";"Montpellier";"FR7627528108629187948594267";"Directeur des Achats";"Achats";"2021-03-04";"CDI";"35";"True"
"Serge";"Maréchal";"sergemarechal@voltaire-analytics.fr";"+33 2 72 88 99 65";"+33 6 36 90 60 51";"2001-04-03";"Nantes";"M";"Française";"101048074974997";"51LK21976";"9713268900";"21 Avenue des Champs-Élysées";"30000";"Nîmes";"FR7677275250505131089999198";"Coordinateur Transport";"Logistique";"2022-12-18";"CDI";"28";"True"
"Pierre";"Lambert";"pierre-lambert@voltaire-analytics.fr";"+33 1 67 27 26 40";"+33 6 51 14 29 93";"1980-06-30";"Lille";"M";"Française";"180060172392760";"34VI99496";"2856079973";"85 Avenue de Verdun";"80000";"Amiens";"FR7636831852762964143270781";"PDG";"Direction Générale";"2024-10-08";"CDI";"26";"True"
