"NUMERO_FACTURE";"ENTREPRISE_ID";"DATE_EMISSION";"DATE_ECHEANCE";"MONTANT_HT";"TVA";"MONTANT_TTC";"STATUT";"MODE_PAIEMENT";"IBAN_CLIENT";"REFERENCE_BANCAIRE"
"FA-2025-00001";"143";"2026-02-14";"2026-05-15";"72832.14";"14566.43";"87398.57";"PAYEE";"CB";"FR7651187539674749651609910";"REF-409131"
"FA-2025-00002";"921";"2024-09-17";"2024-11-01";"72396.73";"14479.35";"86876.08";"PAYEE";"LETTRE_CHANGE";"FR7635714731591672607338277";"REF-574992"
"FA-2025-00003";"589";"2025-11-30";"2025-12-30";"39799.38";"7959.88";"47759.26";"PAYEE";"LETTRE_CHANGE";"FR7663757577757196851394035";"REF-674640"
"FA-2025-00004";"1000";"2025-01-07";"2025-04-07";"126494.68";"25298.94";"151793.62";"PAYEE";"LETTRE_CHANGE";"FR7681704174181312479767125";"REF-799716"
"FA-2025-00005";"144";"2024-11-28";"2025-01-12";"91996.27";"18399.25";"110395.52";"EN_RETARD";"CB";"FR7638566344922688135566555";"REF-847073"
"FA-2025-00006";"776";"2025-09-03";"2025-12-02";"29724.53";"5944.91";"35669.44";"PAYEE";"CB";"FR7610054269895276987896054";"REF-845106"
"FA-2025-00007";"843";"2024-03-28";"2024-06-26";"135378.16";"27075.63";"162453.79";"EN_ATTENTE";"CB";"FR7684653460292854567631974";"REF-347532"
"FA-2025-00008";"767";"2024-03-20";"2024-05-19";"34712.74";"6942.55";"41655.29";"PAYEE";"LETTRE_CHANGE";"FR7663903114561717118902957";"REF-282177"
"FA-2025-00009";"563";"2024-05-08";"2024-06-22";"66217.67";"13243.53";"79461.2";"PAYEE";"CB";"FR7684238526048225836133995";"REF-606464"
"FA-2025-00010";"365";"2025-03-01";"2025-05-30";"130125.1";"26025.02";"156150.12";"EN_ATTENTE";"CB";"FR7693701384723236833534633";"REF-945431"
"FA-2025-00011";"330";"2025-12-23";"2026-01-22";"34061.5";"6812.3";"40873.8";"EN_ATTENTE";"CB";"FR7661968693118077123356625";"REF-624187"
"FA-2025-00012";"645";"2025-11-03";"2025-12-18";"106158.72";"21231.74";"127390.46";"PAYEE";"CHEQUE";"FR7658251724654899614406420";"REF-640632"
"FA-2025-00013";"496";"2024-08-01";"2024-09-30";"112426.07";"22485.21";"134911.28";"EN_ATTENTE";"CHEQUE";"FR7671065775492849799766058";"REF-429846"
"FA-2025-00014";"595";"2025-04-17";"2025-06-16";"34440.75";"6888.15";"41328.9";"EN_ATTENTE";"VIREMENT";"FR7619042725942676905302719";"REF-368866"
"FA-2025-00015";"191";"2024-09-10";"2024-10-10";"111648.58";"22329.72";"133978.3";"EN_ATTENTE";"LETTRE_CHANGE";"FR7640014949022911428015658";"REF-163224"
"FA-2025-00016";"764";"2025-11-02";"2025-12-17";"108276.76";"21655.35";"129932.11";"PAYEE";"PRELEVEMENT";"FR7626238693819381604670110";"REF-290264"
"FA-2025-00017";"254";"2025-02-17";"2025-05-18";"36739.56";"7347.91";"44087.47";"EN_ATTENTE";"CHEQUE";"FR7639094670848979720998064";"REF-737591"
"FA-2025-00018";"126";"2026-01-10";"2026-04-10";"82906.01";"16581.2";"99487.21";"EN_ATTENTE";"VIREMENT";"FR7623340699454749991340552";"REF-312267"
"FA-2025-00019";"551";"2026-01-02";"2026-02-16";"20216.37";"4043.27";"24259.64";"EN_RETARD";"LETTRE_CHANGE";"FR7672089504952718059108975";"REF-252960"
"FA-2025-00020";"250";"2024-03-19";"2024-06-17";"141295.57";"28259.11";"169554.68";"PAYEE";"PRELEVEMENT";"FR7656080850751884381941080";"REF-175022"
"FA-2025-00021";"526";"2024-03-16";"2024-04-15";"24284.88";"4856.98";"29141.86";"PAYEE";"VIREMENT";"FR7655803179073575005868651";"REF-360104"
"FA-2025-00022";"569";"2024-03-12";"2024-04-26";"102695.91";"20539.18";"123235.09";"PAYEE";"CB";"FR7647447646288999659396166";"REF-950117"
"FA-2025-00023";"966";"2025-09-08";"2025-11-07";"125459.45";"25091.89";"150551.34";"EN_ATTENTE";"LETTRE_CHANGE";"FR7642268620855464841314243";"REF-470576"
"FA-2025-00024";"331";"2024-06-20";"2024-07-20";"125692.56";"25138.51";"150831.07";"EN_ATTENTE";"VIREMENT";"FR7681682512099112497482753";"REF-409777"
"FA-2025-00025";"841";"2024-09-28";"2024-12-27";"35780.39";"7156.08";"42936.47";"EN_ATTENTE";"VIREMENT";"FR7677188391288808668304252";"REF-942030"
"FA-2025-00026";"36";"2025-02-06";"2025-03-08";"138620.97";"27724.19";"166345.16";"EN_ATTENTE";"VIREMENT";"FR7690588865955080685383751";"REF-284554"
"FA-2025-00027";"916";"2025-12-13";"2026-03-13";"62474.12";"12494.82";"74968.94";"EN_ATTENTE";"LETTRE_CHANGE";"FR7680285112784510558945829";"REF-606037"
"FA-2025-00028";"274";"2024-08-06";"2024-10-05";"12221.78";"2444.36";"14666.14";"EN_ATTENTE";"CB";"FR7626550450977982819859724";"REF-980866"
"FA-2025-00029";"800";"2024-10-25";"2024-12-24";"35229.14";"7045.83";"42274.97";"EN_ATTENTE";"LETTRE_CHANGE";"FR7635933207545960278135685";"REF-277596"
"FA-2025-00030";"287";"2025-09-24";"2025-11-08";"42229.93";"8445.99";"50675.92";"PAYEE";"CHEQUE";"FR7627200518707205906796035";"REF-118562"
"FA-2025-00031";"448";"2024-08-26";"2024-10-25";"54796.93";"10959.39";"65756.32";"EN_ATTENTE";"VIREMENT";"FR7698063870211799596077079";"REF-159858"
"FA-2025-00032";"397";"2024-08-28";"2024-10-27";"24568.56";"4913.71";"29482.27";"PAYEE";"CHEQUE";"FR7689298714563335986671458";"REF-288272"
"FA-2025-00033";"352";"2025-10-19";"2026-01-17";"62638.63";"12527.73";"75166.36";"PAYEE";"CHEQUE";"FR7675745312974837487405775";"REF-735499"
"FA-2025-00034";"834";"2024-04-03";"2024-05-18";"134251.33";"26850.27";"161101.6";"PAYEE";"CB";"FR7639775681904509700200829";"REF-140714"
"FA-2025-00035";"968";"2024-02-26";"2024-04-11";"143744.24";"28748.85";"172493.09";"EN_ATTENTE";"LETTRE_CHANGE";"FR7664181928855985213708529";"REF-664312"
"FA-2025-00036";"7";"2025-05-26";"2025-06-25";"72634.17";"14526.83";"87161.0";"EN_ATTENTE";"CHEQUE";"FR7619036782462083934739753";"REF-655558"
"FA-2025-00037";"323";"2025-07-10";"2025-08-24";"22586.01";"4517.2";"27103.21";"PAYEE";"PRELEVEMENT";"FR7657402621925868350196585";"REF-197881"
"FA-2025-00038";"432";"2024-12-05";"2025-02-03";"29127.27";"5825.45";"34952.72";"EN_ATTENTE";"CHEQUE";"FR7670611175537726581990239";"REF-631346"
"FA-2025-00039";"623";"2024-07-29";"2024-08-28";"100435.94";"20087.19";"120523.13";"EN_ATTENTE";"PRELEVEMENT";"FR7677060220701044593371824";"REF-687525"
"FA-2025-00040";"808";"2024-02-02";"2024-03-03";"35434.46";"7086.89";"42521.35";"EN_RETARD";"LETTRE_CHANGE";"FR7694087949825741959817492";"REF-249167"
"FA-2025-00041";"16";"2025-03-01";"2025-04-15";"51328.1";"10265.62";"61593.72";"PAYEE";"CB";"FR7642439484851544974705242";"REF-997252"
"FA-2025-00042";"721";"2025-07-03";"2025-08-02";"27159.1";"5431.82";"32590.92";"PAYEE";"CHEQUE";"FR7633103178245061845895448";"REF-605923"
"FA-2025-00043";"134";"2025-11-02";"2025-12-17";"71357.63";"14271.53";"85629.16";"EN_ATTENTE";"PRELEVEMENT";"FR7685061186107490303784833";"REF-274386"
"FA-2025-00044";"575";"2024-08-25";"2024-11-23";"49253.25";"9850.65";"59103.9";"EN_ATTENTE";"LETTRE_CHANGE";"FR7627653935948146446711067";"REF-108266"
"FA-2025-00045";"791";"2024-09-17";"2024-11-16";"89856.15";"17971.23";"107827.38";"EN_ATTENTE";"LETTRE_CHANGE";"FR7683938752752922696783758";"REF-210105"
"FA-2025-00046";"623";"2025-03-19";"2025-06-17";"111355.07";"22271.01";"133626.08";"PAYEE";"CHEQUE";"FR7679280684387744276508354";"REF-377835"
"FA-2025-00047";"974";"2026-01-15";"2026-02-14";"13319.91";"2663.98";"15983.89";"PAYEE";"CHEQUE";"FR7661950318917267442859493";"REF-371772"
"FA-2025-00048";"587";"2024-09-14";"2024-12-13";"111730.9";"22346.18";"134077.08";"PAYEE";"VIREMENT";"FR7673307204803147536975799";"REF-559567"
"FA-2025-00049";"441";"2025-10-23";"2025-12-07";"135635.12";"27127.02";"162762.14";"PAYEE";"VIREMENT";"FR7624592924796058192012172";"REF-336649"
